# conversion-table.tsv - LaTeX <-> Unicode conversion table for org.jabref.latexconv
#
# Generated by tools/GenerateTable.java. Do not edit by hand; re-run the generator instead.
#
# Columns (tab-separated): category<TAB>unicode<TAB>latex<TAB>flags
#   category: one of letters, diacritics, superscripts, subscripts, greek, symbols, styles
#   unicode:  literal character(s); combining marks/whitespace/non-printables are escaped as
#             ~U+XXXX (may be mixed with literal characters in the same value)
#   latex:    full LaTeX replacement text verbatim (e.g. \alpha, \", \textsuperscript{t},
#             \mathbb{A}, \frac{1}{2}); for `combining` rows this is the bare accent command
#   flags:    comma-separated subset of decode-only, encode-only, alt, combining, math, script
#             the FIRST row (file order) for a given unicode value that lacks both alt and
#             decode-only is THE encode-preferred row for that value; there is at most one
#             such row per distinct unicode value
#
# Rows are sorted by category (alphabetically), then by the unicode value's first codepoint,
# then by latex text, then by flags - deterministic and reproducible across runs.
#
# Derived from, in order of encode priority (Biber wins ties, then tomtung, then JabRef):
#
#  - Biber, lib/Biber/LaTeX/recode_data.xml, submodule tools/upstream/biber pinned at commit
#    74252e608e5f8115375c532eb25416430a9f52eb (tag area v0.4-4166-g74252e60).
#    License: Artistic License 2.0. https://github.com/plk/biber
#  - latex2unicode (tomtung), src/main/scala/.../helper/{Unary,Escape,Binary,UnaryWithOption,
#    Style}.scala, submodule tools/upstream/latex2unicode pinned at commit
#    1c8b7c4af7c0f2aee3937c5c24305fd01063bc1b (tag v0.3.2).
#    License: Apache License 2.0. https://github.com/tomtung/latex2unicode
#  - JabRef HTMLUnicodeConversionMaps, tools/source-data/HTMLUnicodeConversionMaps.java, a
#    snapshot from https://github.com/JabRef/jabref @ b0d3eb4f8e248750ac35fb369666d329dfc1d9d2.
#    License: MIT. Parts of that table derive from ISO 8879 entity definitions.
#
# See tools/CONFLICTS.md for every merge conflict and skipped/non-representable entry.
diacritics	~U+0361	\texttoptiebar	combining
diacritics	~U+0362	\sliding	combining
greek	Α	$\Alpha$	alt
greek	Α	\Alpha	
greek	Β	$\Beta$	alt
greek	Β	\Beta	
greek	Γ	$\Gamma$	alt
greek	Γ	\Gamma	
greek	Δ	$\Delta$	alt
greek	Δ	\Delta	
greek	Ε	$\Epsilon$	alt
greek	Ε	\Epsilon	
greek	Ζ	$\Zeta$	alt
greek	Ζ	\Zeta	
greek	Η	$\Eta$	alt
greek	Η	\Eta	
greek	Θ	$\Theta$	alt
greek	Θ	\Theta	
greek	Ι	$\Iota$	alt
greek	Ι	\Iota	
greek	Κ	$\Kappa$	alt
greek	Κ	\Kappa	
greek	Λ	$\Lambda$	alt
greek	Λ	\Lambda	
greek	Μ	$\Mu$	alt
greek	Μ	\Mu	
greek	Ν	$\Nu$	alt
greek	Ν	\Nu	
greek	Ξ	$\Xi$	alt
greek	Ξ	\Xi	
greek	Ο	$\Omicron$	alt
greek	Ο	\Omicron	
greek	Π	$\Pi$	alt
greek	Π	\Pi	
greek	Ρ	$\Rho$	alt
greek	Ρ	\Rho	
greek	Σ	$\Sigma$	alt
greek	Σ	\Sigma	
greek	Τ	$\Tau$	alt
greek	Τ	\Tau	
greek	Υ	$\Upsilon$	alt
greek	Υ	\Upsilon	
greek	Φ	$\Phi$	alt
greek	Φ	\Phi	
greek	Χ	$\Chi$	alt
greek	Χ	\Chi	
greek	Ψ	$\Psi$	alt
greek	Ψ	\Psi	
greek	Ω	$\Omega$	alt
greek	Ω	\Omega	
greek	α	$\alpha$	alt
greek	α	\alpha	
greek	β	$\beta$	alt
greek	β	\beta	
greek	γ	$\gamma$	alt
greek	γ	\gamma	alt
greek	δ	$\delta$	alt
greek	δ	\delta	
greek	ε	$\epsilon$	alt
greek	ε	\varepsilon	
greek	ζ	$\zeta$	alt
greek	ζ	\zeta	
greek	η	$\eta$	alt
greek	η	\eta	
greek	θ	$\theta$	alt
greek	θ	\theta	alt
greek	θ	\vartheta	encode-only
greek	ι	$\iota$	alt
greek	ι	\iota	alt
greek	κ	$\kappa$	alt
greek	κ	\kappa	
greek	λ	$\lambda$	alt
greek	λ	\lambda	
greek	μ	$\mu$	encode-only,alt
greek	μ	\mu	encode-only,alt
greek	ν	$\nu$	alt
greek	ν	\nu	
greek	ξ	$\xi$	alt
greek	ξ	\xi	
greek	ο	$\omicron$	alt
greek	ο	\omicron	
greek	π	$\pi$	alt
greek	π	\pi	
greek	ρ	$\rho$	alt
greek	ρ	\rho	alt
greek	ρ	\varrho	encode-only
greek	ς	$\varsigma$	alt
greek	ς	\varsigma	
greek	σ	$\sigma$	alt
greek	σ	\sigma	
greek	τ	$\tau$	alt
greek	τ	\tau	
greek	υ	$\upsilon$	alt
greek	υ	\upsilon	alt
greek	φ	$\phi$	alt
greek	φ	\phi	alt
greek	φ	\varphi	encode-only
greek	χ	$\chi$	alt
greek	χ	\chi	
greek	ψ	$\psi$	alt
greek	ψ	\psi	
greek	ω	$\omega$	alt
greek	ω	\omega	
greek	ϑ	$\vartheta$	alt
greek	ϑ	\vartheta	
greek	ϒ	$\Upsilon$	encode-only
greek	ϕ	\varphi	
greek	ϖ	$\varphi$	alt
greek	ϖ	\varpi	
greek	Ϝ	\digamma	
greek	ϰ	\varkappa	
greek	ϱ	\varrho	
greek	ϵ	$\varepsilonup$	
greek	∊	\epsilon	
letters	À	\`{A}	
letters	Á	\'{A}	
letters	Â	\^{A}	
letters	Ã	\~{A}	
letters	Ä	\"{A}	
letters	Å	\AA	
letters	Æ	\AE	
letters	Ç	\c{C}	
letters	È	\`{E}	
letters	É	\'{E}	
letters	Ê	\^{E}	
letters	Ë	\"{E}	
letters	Ì	\`{I}	
letters	Í	\'{I}	
letters	Î	\^{I}	
letters	Ï	\"{I}	
letters	Ð	\DH	
letters	Ñ	\~{N}	
letters	Ò	\`{O}	
letters	Ó	\'{O}	
letters	Ô	\^{O}	
letters	Õ	\~{O}	
letters	Ö	\"{O}	
letters	×	$\times$	alt
letters	Ø	\O	
letters	Ù	\`{U}	
letters	Ú	\'{U}	
letters	Û	\^{U}	
letters	Ü	\"{U}	
letters	Ý	\'{Y}	
letters	Þ	\TH	
letters	Þ	\Thorn	alt
letters	ß	\ss	
letters	à	\`{a}	
letters	á	\'{a}	
letters	â	\^{a}	
letters	ã	\~{a}	
letters	ä	\"{a}	
letters	å	\aa	
letters	æ	\ae	
letters	ç	\c{c}	
letters	è	\`{e}	
letters	é	\'{e}	
letters	ê	\^{e}	
letters	ë	\"{e}	
letters	ì	\`{i}	
letters	í	\'{i}	
letters	î	\^{i}	
letters	ï	\"{i}	
letters	ð	\dh	
letters	ñ	\~{n}	
letters	ò	\`{o}	
letters	ó	\'{o}	
letters	ô	\^{o}	
letters	õ	\~{o}	
letters	ö	\"{o}	
letters	÷	$\div$	alt
letters	ø	\o	
letters	ù	\`{u}	
letters	ú	\'{u}	
letters	û	\^{u}	
letters	ü	\"{u}	
letters	ý	\'{y}	
letters	þ	\textthorn	alt
letters	þ	\textthornvari	alt
letters	þ	\textthornvarii	alt
letters	þ	\textthornvariii	alt
letters	þ	\textthornvariv	alt
letters	þ	\th	
letters	ÿ	\"{y}	
letters	Ā	\={A}	
letters	ā	\={a}	
letters	Ă	\u{A}	
letters	ă	\u{a}	
letters	Ą	\k{A}	
letters	ą	\k{a}	
letters	Ć	\'{C}	
letters	ć	\'{c}	
letters	Ĉ	\^{C}	
letters	ĉ	\^{c}	
letters	Ċ	\.{C}	
letters	ċ	\.{c}	
letters	Č	\v{C}	
letters	č	\v{c}	
letters	Ď	\v{D}	
letters	ď	\v{d}	
letters	Đ	\DJ	
letters	đ	\dj	
letters	đ	\textcrd	alt
letters	Ē	\={E}	
letters	ē	\={e}	
letters	Ĕ	\u{E}	
letters	ĕ	\u{e}	
letters	Ė	\.{E}	
letters	ė	\.{e}	
letters	Ę	\k{E}	
letters	ę	\k{e}	
letters	Ě	\v{E}	
letters	ě	\v{e}	
letters	Ĝ	\^{G}	
letters	ĝ	\^{g}	
letters	Ğ	\u{G}	
letters	ğ	\u{g}	
letters	Ġ	\.{G}	
letters	ġ	\.{g}	
letters	Ģ	\c{G}	
letters	ģ	\c{g}	
letters	Ĥ	\^{H}	
letters	ĥ	\^{h}	
letters	Ħ	\B{H}	alt
letters	Ħ	\textHbar	
letters	ħ	\B{h}	alt
letters	ħ	\textcrh	alt
letters	ħ	\texthbar	
letters	Ĩ	\~{I}	
letters	ĩ	\~{\i}	
letters	Ī	\={I}	
letters	ī	\={\i}	
letters	Ĭ	\u{I}	
letters	ĭ	\u{\i}	
letters	Į	\k{I}	
letters	į	\k{i}	
letters	İ	\.{I}	
letters	ı	\i	
letters	Ĳ	\IJ	
letters	ĳ	\ij	
letters	Ĵ	\^{J}	
letters	ĵ	\^{\j}	
letters	Ķ	\c{K}	
letters	ķ	\c{k}	
letters	ĸ	\textkra	
letters	Ĺ	\'{L}	
letters	ĺ	\'{l}	
letters	Ļ	\c{L}	
letters	ļ	\c{l}	
letters	Ľ	\v{L}	
letters	ľ	\v{l}	
letters	Ł	\L	
letters	ł	\l	
letters	ł	\textbarl	alt
letters	Ń	\'{N}	
letters	ń	\'{n}	
letters	Ņ	\c{N}	
letters	ņ	\c{n}	
letters	Ň	\v{N}	
letters	ň	\v{n}	
letters	ŉ	'n	
letters	Ŋ	\NG	
letters	ŋ	\ng	
letters	Ō	\={O}	
letters	ō	\={o}	
letters	Ŏ	\u{O}	
letters	ŏ	\u{o}	
letters	Ő	\H{O}	
letters	ő	\H{o}	
letters	Œ	\OE	
letters	œ	\oe	
letters	Ŕ	\'{R}	
letters	ŕ	\'{r}	
letters	Ŗ	\c{R}	
letters	ŗ	\c{r}	
letters	Ř	\v{R}	
letters	ř	\v{r}	
letters	Ś	\'{S}	
letters	ś	\'{s}	
letters	Ŝ	\^{S}	
letters	ŝ	\^{s}	
letters	Ş	\c{S}	
letters	ş	\c{s}	
letters	Š	\v{S}	
letters	š	\v{s}	
letters	Ţ	\c{T}	
letters	ţ	\c{T}	encode-only
letters	Ť	\v{T}	
letters	ť	\v{t}	
letters	Ŧ	\B{T}	alt
letters	Ŧ	\textTbar	alt
letters	Ŧ	\textTstroke	
letters	ŧ	\B{t}	alt
letters	ŧ	\texttbar	alt
letters	ŧ	\texttstroke	
letters	Ũ	\~{U}	
letters	ũ	\~{u}	
letters	Ū	\={U}	
letters	ū	\={u}	
letters	Ŭ	\u{U}	
letters	ŭ	\u{u}	
letters	Ů	\r{U}	
letters	ů	\r{u}	
letters	Ű	\={U}	encode-only
letters	ű	\={u}	encode-only
letters	Ų	\k{U}	
letters	ų	\k{u}	
letters	Ŵ	\^{W}	
letters	ŵ	\^{w}	
letters	Ŷ	\^{Y}	
letters	ŷ	\^{y}	
letters	Ÿ	\"{Y}	
letters	Ź	\'{Z}	
letters	ź	\'{z}	
letters	Ż	\.{Z}	
letters	ż	\.{z}	
letters	Ž	\v{Z}	
letters	ž	\v{z}	
letters	ƀ	\B{b}	alt
letters	ƀ	\textcrb	
letters	Ɓ	\textBhook	
letters	Ɔ	\textOopen	
letters	Ƈ	\textChook	
letters	ƈ	\textchook	alt
letters	ƈ	\texthtc	
letters	Ɖ	\textDafrican	
letters	Ɗ	\textDhook	
letters	Ǝ	\textEreversed	
letters	Ɛ	\textEopen	
letters	Ƒ	\textFhook	
letters	ƒ	\textflorin	
letters	Ɣ	\textGammaafrican	
letters	ƕ	\hv	
letters	ƕ	\texthvlig	alt
letters	Ɩ	\textIotaafrican	
letters	Ƙ	\textKhook	
letters	ƙ	\texthtk	
letters	ƙ	\textkhook	alt
letters	ƛ	\textcrlambda	
letters	Ɲ	\textNhookleft	
letters	Ơ	\OHORN	
letters	ơ	\ohorn	
letters	Ƥ	\textPhook	
letters	ƥ	\texthtp	
letters	ƥ	\textphook	alt
letters	Ʃ	\ESH	
letters	Ʃ	\textEsh	alt
letters	ƪ	\textlooptoprevesh	
letters	ƫ	\textpalhookbelow	
letters	Ƭ	\textThook	
letters	ƭ	\texthtt	
letters	ƭ	\textthook	alt
letters	Ʈ	\textTretroflexhook	
letters	Ư	\UHORN	
letters	ư	\uhorn	
letters	Ʋ	\textVhook	
letters	Ƴ	\textYhook	
letters	ƴ	\textyhook	
letters	Ʒ	\textEzh	
letters	ǝ	\texteturned	
letters	Ǫ	\k{O}	
letters	ǫ	\k{o}	
letters	Ǭ	\k{\={O}}	
letters	ǭ	\k{\={o}}	
letters	Ș	\cb{S}	
letters	ș	\cb{s}	
letters	Ț	\cb{T}	
letters	ț	\cb{t}	
letters	ȷ	\j	
letters	ɐ	\textturna	
letters	ɑ	\textscripta	
letters	ɒ	\textturnscripta	
letters	ɓ	\textbhook	alt
letters	ɓ	\texthtb	
letters	ɔ	\textoopen	alt
letters	ɔ	\textopeno	
letters	ɕ	\textctc	
letters	ɖ	\textdtail	alt
letters	ɖ	\textrtaild	
letters	ɗ	\textdhook	alt
letters	ɗ	\texthtd	
letters	ɘ	\textreve	
letters	ə	\textschwa	
letters	ɚ	\textrhookschwa	
letters	ɛ	\texteopen	alt
letters	ɛ	\textepsilon	
letters	ɜ	\textrevepsilon	
letters	ɝ	\textrhookrevepsilon	
letters	ɞ	\textcloserevepsilon	
letters	ɟ	\textbardotlessj	
letters	ɠ	\texthtg	
letters	ɡ	\textscriptg	
letters	ɢ	\textscg	
letters	ɣ	\textgammalatinsmall	
letters	ɤ	\textramshorns	
letters	ɥ	\textturnh	
letters	ɦ	\texthth	
letters	ɧ	\texththeng	
letters	ɨ	\textbari	
letters	ɩ	\textiotalatin	
letters	ɪ	\textsci	
letters	ɫ	\textltilde	
letters	ɬ	\textbeltl	
letters	ɭ	\textrtaill	
letters	ɮ	\textlyoghlig	
letters	ɯ	\textturnm	
letters	ɰ	\textturnmrleg	
letters	ɱ	\textltailm	
letters	ɲ	\textltailn	alt
letters	ɲ	\textnhookleft	
letters	ɳ	\textrtailn	
letters	ɴ	\textscn	
letters	ɵ	\textbaro	
letters	ɶ	\textscoelig	
letters	ɷ	\textcloseomega	
letters	ɸ	\textphi	
letters	ɹ	\textturnr	
letters	ɺ	\textturnlonglegr	
letters	ɻ	\textturnrrtail	
letters	ɼ	\textlonglegr	
